part_number,part_name_msil,part_class,part_group_name,is_supported
83811M69R00,WTHR_FR_OUT_R,WTHR_OUT,,1
83821M55R00,WTHR_FR_OUT_L,WTHR_OUT,,1
83821M55U00,WTHR_FR_OUT_L,WTHR_OUT,,1
83821M55U10,WTHR_FR_OUT_L,WTHR_OUT,,1
83821M66T00,WTHR_FR_OUT_L,WTHR_OUT,,1
83821M69R00,WTHR_FR_OUT_L,WTHR_OUT,,1
83831M55U00,WTHR_RR_OUT_R,skip,,1
83831M55U10,WTHR_RR_OUT_R,skip,,1
83831M56R00,WTHR_RR_OUT_R,skip,,1
83831M66T00,WTHR_RR_OUT_R,skip,,1
83831M69R00,WTHR_RR_OUT_R,skip,,1
83841M55U00,WTHR_RR_OUT_L,skip,,1
83841M55U10,WTHR_RR_OUT_L,skip,,1
83841M56R00,WTHR_RR_OUT_L,skip,,1
83841M66T00,WTHR_RR_OUT_L,skip,,1
83919M68P00,SHT_CHLD_LCK_CTN,skip,,1
84501M55U00,GLASS_FR_R,GLASS,,1
84501M56R00,GLASS_FR_R,GLASS,,1
84501M66T00,GLASS_FR_R,GLASS,,1
84501M69R00,GLASS_FR_R,GLASS,,1
84502M55U00,GLASS_FR_L,GLASS,,1
84502M56R00,GLASS_FR_L,GLASS,,1
84502M66T00,GLASS_FR_L,GLASS,,1
84502M69R00,GLASS_FR_L,GLASS,,1
84503M55U00,GLASS_RR_R,skip,,1
84503M56R00,GLASS_RR_R,skip,,1
84503M66T00,GLASS_RR_R,skip,,1
84503M69R00,GLASS_RR_R,skip,,1
84504M55U00,GLASS_RR_L,skip,,1
84504M56R00,GLASS_RR_L,skip,,1
84504M66T00,GLASS_RR_L,skip,,1
84504M69R00,GLASS_RR_L,skip,,1
84701M55U00-5PK,MIRR_RR_R,MIRROR,,1
84701M55U40-WB3,MIRR_RR_R,MIRROR,,1
84701M55U50-WB3,MIRR_RR_R,MIRROR,,1
84701M55U60-WB3,MIRR_RR_R,MIRROR,,1
84701M55U70-WB3,MIRR_RR_R,MIRROR,,1
84701M56R00-5PK,MIRR_RR_R,MIRROR,,1
84701M56R83-WBE,MIRR_RR_R,MIRROR,,1
84701M66T10-WAA,MIRR_RR_R,MIRROR,,1
84701M66T20-WAA,MIRR_RR_R,MIRROR,,1
84701M66T20-WB3,MIRR_RR_R,MIRROR,,1
84701M66TA0-WB3,MIRR_RR_R,MIRROR,,1
84701M69RA0-26U,MIRR_RR_R,MIRROR,,1
84702M55U00-5PK,MIRR_RR_L,MIRROR,,1
84702M55U40-WB3,MIRR_RR_L,MIRROR,,1
84702M55U50-WB3,MIRR_RR_L,MIRROR,,1
84702M55U60-WB3,MIRR_RR_L,MIRROR,,1
84702M55U70-WB3,MIRR_RR_L,MIRROR,,1
84702M56R00-5PK,MIRR_RR_L,MIRROR,,1
84702M56R83-WBE,MIRR_RR_L,MIRROR,,1
84702M66T10-WAA,MIRR_RR_L,MIRROR,,1
84702M66T20-WAA,MIRR_RR_L,MIRROR,,1
84702M66T20-WB3,MIRR_RR_L,MIRROR,,1
84702M66TA0-WB3,MIRR_RR_L,MIRROR,,1
84702M69RA0-26U,MIRR_RR_L,MIRROR,,1
84750M55U00-5PK,GRNS_FR_INR_R,GRNS_FR_INR,,1
84750M55U10-5PK,GRNS_FR_INR_R,GRNS_FR_INR,,1
84750M56R00-5PK,GRNS_FR_INR_R,GRNS_FR_INR,,1
84750M66T00-5PK,GRNS_FR_INR_R,GRNS_FR_INR,,1
84790M55U00-5PK,GRNS_FR_INR_L,GRNS_FR_INR,,1
84790M55U10-5PK,GRNS_FR_INR_L,GRNS_FR_INR,,1
84790M56R00-5PK,GRNS_FR_INR_L,GRNS_FR_INR,,1
84790M66T00-5PK,GRNS_FR_INR_L,GRNS_FR_INR,,1
PNT_GRMT_FR,PNT_GRMT_FR,PNT_GRMT,,1
PNT_GRMT_RR,PNT_GRMT_RR,PNT_GRMT,,1
